ydata,gpf,re,,,
-4.373691779,1.300700933,0,,,
-4.285188665,1.211881032,0,,,
-4.2460908,1.220802404,0,,,
-4.46628837,1.308343953,0,,,
-4.14877474,1.630582407,0,,,
-4.425722576,1.068990494,0,,,
-5.098572873,0.961190249,0,,,
-5.63659917,1.44246466,0,,,
-5.267584736,1.017376031,0,,,
-4.364225817,0.789454258,0,,,
-3.516172274,0.810549314,0,,,
-3.95885058,1.073313797,0,,,
-4.616817071,0.922352589,0,,,
-4.756094369,0.980838084,0,,,
-4.17457998,0.837059156,0,,,
-4.025850953,0.754901795,0,,,
-4.458533556,0.620430639,0,,,
-3.702546797,0.601313405,0,,,
-3.928081971,0.449517657,0,,,
-4.060587948,0.561873692,0,,,
-4.390440443,0.354549877,0,,,
-4.329133834,0.368286768,0,,,
-3.913951929,0.245704513,0,,,
-4.633217046,0.364095503,0,,,
-4.291813002,0.232532345,0.379415254,,,
-4.13248438,0.162116903,0.955366945,,,
-4.011104645,0.126116578,1.6891212,,,
-3.443269603,0.067231176,1.731917784,,,
-4.106128684,0.187322583,0.794024988,,,
-5.100319802,0.016812681,3.669124008,,,
-4.344871259,0.097451003,2.446191813,,,
-3.777300168,0.041179422,3.008765292,,,
-4.026356479,0.095583916,0.590970292,,,
-4.407342402,0.046463007,1.811149575,,,
-4.105942048,0.117206427,1.446934649,,,
-5.499835693,0.012722156,3.562475935,,,
-5.504985757,0.074819492,1.972394868,,,
-5.141215668,0.020440825,3.320003386,,,
-4.681145031,0.00460104,2.46271944,,,
-4.105609064,0.037274,2.657588723,,,
-4.720380132,0.041632993,2.16901866,,,
-4.653877368,0.059177236,1.965059802,,,
-4.063824046,0.063806845,2.067385141,,,
-4.645515484,0.015658396,3.066706037,,,
-4.034553535,0.008360276,2.883599324,,,
-4.6840867,0.002200989,3.480054017,,,
-5.282240438,0.018235755,3.020904717,,,
-5.102757513,0.001345941,3.065257151,,,
-4.680279136,0.026264629,2.643160423,,,
-4.795561823,0.178023022,0,,,
-5.129395565,0.052016745,2.251962766,,,
-4.590336192,0.004888927,2.826788628,,,
-3.393582225,0.033056621,2.149841772,,,
-4.153076015,0.038475504,2.294481563,,,
-3.948742958,0.030036947,2.274715265,,,
-4.055698548,0.005521339,2.735117674,,,
-4.548374727,0.003286145,3.22547135,,,
-4.784189127,0.008274624,2.581828605,,,
-3.784910993,0.01306522,2.148700464,,,
-4.644343327,0.0495214,1.687500353,,,
-4.878007398,0.02123436,2.722355995,,,
-5.000577203,0.005597704,2.558007934,,,
-2.739756175,0.02790074,2.410649151,,,
-2.37429471,0.017193652,2.830503055,,,
-2.562476479,0.01053213,3.00837608,,,
-2.420965803,0.043417113,2.910519243,,,
-3.04947012,0.045080036,2.789096265,,,
-3.358281353,0.003417169,4.566580178,,,
-3.655274755,0.01877309,4.885797791,,,
-2.781546844,5.32E-31,3.638191474,,,
-2.807231795,2.54E-31,3.345168,,,
-2.601630322,0.025952215,1.935435938,,,
-2.655935377,0.024321008,2.448632926,,,
-2.696574889,0.056663365,1.327244663,,,
-3.118717593,0.082752638,2.011547222,,,
-3.324378128,0.066344581,1.671213054,,,
-2.638809922,0.070114307,0.751449365,,,
-2.729495335,9.57E-31,3.513586076,,,
-2.124633187,0.011073195,2.87997561,,,
-1.676913415,1.88E-31,2.405636325,,,
-1.702559082,1.91E-31,2.7115118,,,
-1.390498593,0.001520638,2.641415391,,,
-1.383331335,0.011673041,2.663887992,,,
-2.423004265,3.79E-31,3.048687714,,,
-1.602146661,0.051521023,2.289457773,,,
-1.509186031,0.014321714,3.017287724,,,
-2.95320786,0.002720005,3.21716649,,,
-3.164915324,6.79E-31,3.754942637,,,
-2.873451471,0.028647342,2.101412922,,,
-3.203085843,5.13E-31,4.51539275,,,
-3.994023988,1.12E-30,4.92869223,,,
-3.880205579,0.011602559,4.333789218,,,
-3.395695313,8.73E-31,4.912963096,,,
-3.259452033,5.49E-31,4.917668642,,,
-4.321196345,0.009459071,5.044740593,,,
-3.549278302,0.006303843,4.40659193,,,
-3.412125752,0.001688174,4.694693888,,,
-2.528149425,3.88E-04,3.119461258,,,
-3.522804804,0.004211231,4.417751953,,,
-3.284566105,0.004362798,3.938361379,,,
-3.253364943,0.030229246,3.460248114,,,
-2.747056417,0.044877865,3.334810885,,,
-3.814520362,0.031776534,3.494221508,,,
-3.81500364,0.117365606,1.412779211,,,
-3.40914989,0.170042592,0.565620606,,,
